"type","address","amount","date","time"
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",415.54446376206477,"2018-08-27T13:36:56.000Z",1535377016
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",7734.231017368132,"2018-08-27T17:45:47.000Z",1535391947
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",466.69838402336876,"2018-08-28T15:01:28.000Z",1535468488
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",466.37769436299914,"2018-08-29T04:13:06.000Z",1535515986
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",2201.0382236346427,"2018-08-29T14:12:41.000Z",1535551961
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",824.1738092338915,"2018-08-29T14:24:52.000Z",1535552692
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",487.0362868463369,"2018-08-30T14:17:05.000Z",1535638625
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",2951.5557363889952,"2018-08-30T15:13:26.000Z",1535642006
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",2226.675160929257,"2018-08-31T13:46:56.000Z",1535723216
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",501.26762579542196,"2018-08-31T13:49:15.000Z",1535723355
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",511.0153727236709,"2018-09-01T17:53:48.000Z",1535824428
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",514.2622509873142,"2018-09-02T16:21:45.000Z",1535905305
"BOND","0x8b10d42bc9c2dc8c489713957fccd27884470315",159.0174537964513,"2018-09-02T21:22:01.000Z",1535923321
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",518.816808505129,"2018-09-03T14:52:17.000Z",1535986337
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",9561.131965053415,"2018-09-04T14:03:09.000Z",1536069789
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",1665.8670476263967,"2018-09-04T14:15:54.000Z",1536070554
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",518.3749985115631,"2018-09-04T17:13:52.000Z",1536081232
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",2436.3658019324357,"2018-09-05T13:35:56.000Z",1536154556
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",578.1413288600705,"2018-09-05T13:39:27.000Z",1536154767
"BOND","0x513a1a279b4b337cbb7ed3f9343bb2502d815c7e",2,"2018-09-05T16:23:08.000Z",1536164588
"BOND","0x69327dbd594941d817054d25c117f904ca676564",16.517268804047312,"2018-09-05T21:32:29.000Z",1536183149
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",1790.6002570338692,"2018-09-06T17:25:24.000Z",1536254724
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",592.7122742018154,"2018-09-06T17:30:00.000Z",1536255000
"MOVE_BOND","0xde2ae0ca824539b1d95b38bae4bc3d3ea9800385",-2.441696,"2018-09-07T04:50:41.000Z",1536295841
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",605.4043092458273,"2018-09-07T15:34:50.000Z",1536334490
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",601.3796345502864,"2018-09-07T21:43:50.000Z",1536356630
"MOVE_BOND","0x69327dbd594941d817054d25c117f904ca676564",-16.517268804047312,"2018-09-08T12:00:23.000Z",1536408023
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",595.8108127075448,"2018-09-09T15:07:03.000Z",1536505623
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",5826.662914054891,"2018-09-10T14:07:18.000Z",1536588438
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",597.4088743773578,"2018-09-10T14:11:40.000Z",1536588700
"BOND","0x8628d73d3f950abde99739ef34b6cfa10394f579",12,"2018-09-10T17:19:32.000Z",1536599972
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",630.6647215626784,"2018-09-11T14:36:09.000Z",1536676569
"BOND","0x1a8659be25a36c6e34c093d772e343fb6b8f2f08",10000,"2018-09-11T17:45:11.000Z",1536687911
